acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name
71.69,69.75,70.83,70.05,0.6847,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-09-19-03 a 0.7 b 0.1 r 0.5
67.87,64.31,65.34,66.16,0.6983,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-09-36-54 a 0.7 b 0.2 r 0.5
69.89,67.75,67.59,68.9,0.6995,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-09-54-45  a 0.7 b 0.3 r 0.5
69.44,66.2,67.25,66.69,0.6997,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-10-05-51  a 0.7 b 0.4 r 0.5
70.56,67.73,68.18,67.77,0.6953,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-10-14-29 a 0.7 b 0.6 r 0.5
70.79,68.85,70.23,68.63,0.6891,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-10-28-39 a 0.7 b 0.7 r 0.5
68.76,66.7,67.41,67.18,0.6918,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-10-38-23  a 0.7 b 0.8 r 0.5
70.11,67.24,68.88,66.64,0.701,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-10-45-35  a 0.7 b 0.9 r 0.5
71.24,67.57,68.47,67.29,0.686,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-11-02-38  a 0.7 b 1.0 r 0.5

70.56,66.85,67.22,67.06,0.6999,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-11-13-10 a 0.7 b 0.7 r 0.1
66.52,62.76,61.98,65.62,0.7014,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-11-22-47 a 0.7 b 0.7 r 0.2
70.56,67.06,69.1,66.96,0.6835,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-14-19-23  a 0.7 b 0.7 r 0.3
69.89,66.92,67.88,66.78,0.6634,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-14-29-59 a 0.7 b 0.7 r 0.4
70.11,66.95,68.92,67.54,0.6884,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-14-45-19 a 0.7 b 0.7 r 0.7
67.64,65.43,66.16,66.04,0.6895,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-15-20-19 a 0.7 b 0.7 r 0.8
69.66,66.64,68.15,66.22,0.6969,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-15-30-26 a 0.7 b 0.7 r 0.9
72.58,69.04,71.38,69.11,0.6867,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-15-41-24 a 0.7 b 0.7 r 1.0
